Feature,Importance
Population,0.0
Longitude,2.0
Latitude,0.0
Km2,0.0
UrbanDensity,0.0
PercentUrban,0.0
Emp-113110,0.0
Est-113110,0.0
Pay-113110,0.0
Emp-113310,2.0
Est-113310,0.0
Pay-113310,1.0
Emp-114111,0.0
Est-114111,0.0
Pay-114111,0.0
Emp-114112,0.0
Est-114112,0.0
Pay-114112,0.0
Emp-115112,0.0
Est-115112,0.0
Pay-115112,0.0
Emp-115210,0.0
Est-115210,0.0
Pay-115210,0.0
Emp-115310,0.0
Est-115310,0.0
Pay-115310,0.0
Emp-221111,0.0
Est-221111,0.0
Pay-221111,0.0
Emp-221121,0.0
Est-221121,0.0
Pay-221121,0.0
Emp-221122,0.0
Est-221122,0.0
Pay-221122,0.0
Emp-221210,0.0
Est-221210,0.0
Pay-221210,0.0
Emp-221310,0.0
Est-221310,0.0
Pay-221310,0.0
Emp-236115,1.0
Est-236115,1.0
Pay-236115,0.0
Emp-236117,0.0
Est-236117,0.0
Pay-236117,0.0
Emp-236118,0.0
Est-236118,0.0
Pay-236118,0.0
Emp-236220,1.0
Est-236220,0.0
Pay-236220,1.0
Emp-237110,0.0
Est-237110,0.0
Pay-237110,0.0
Emp-237120,0.0
Est-237120,0.0
Pay-237120,0.0
Emp-237130,0.0
Est-237130,0.0
Pay-237130,0.0
Emp-237210,0.0
Est-237210,0.0
Pay-237210,0.0
Emp-237310,0.0
Est-237310,0.0
Pay-237310,0.0
Emp-237990,0.0
Est-237990,0.0
Pay-237990,0.0
Emp-238110,0.0
Est-238110,0.0
Pay-238110,0.0
Emp-238120,0.0
Est-238120,0.0
Pay-238120,0.0
Emp-238130,1.0
Est-238130,0.0
Pay-238130,1.0
Emp-238140,0.0
Est-238140,0.0
Pay-238140,0.0
Emp-238150,0.0
Est-238150,0.0
Pay-238150,0.0
Emp-238160,4.0
Est-238160,0.0
Pay-238160,4.0
Emp-238170,0.0
Est-238170,0.0
Pay-238170,0.0
Emp-238190,0.0
Est-238190,0.0
Pay-238190,0.0
Emp-238210,0.0
Est-238210,2.0
Pay-238210,0.0
Emp-238220,0.0
Est-238220,0.0
Pay-238220,0.0
Emp-238290,0.0
Est-238290,0.0
Pay-238290,0.0
Emp-238310,0.0
Est-238310,0.0
Pay-238310,0.0
Emp-238320,0.0
Est-238320,0.0
Pay-238320,0.0
Emp-238330,0.0
Est-238330,0.0
Pay-238330,0.0
Emp-238340,1.0
Est-238340,0.0
Pay-238340,0.0
Emp-238350,0.0
Est-238350,1.0
Pay-238350,0.0
Emp-238390,0.0
Est-238390,0.0
Pay-238390,1.0
Emp-238910,0.0
Est-238910,0.0
Pay-238910,0.0
Emp-238990,0.0
Est-238990,0.0
Pay-238990,0.0
Emp-311352,0.0
Est-311352,0.0
Pay-311352,0.0
Emp-311411,0.0
Est-311411,0.0
Pay-311411,0.0
Emp-311611,0.0
Est-311611,0.0
Pay-311611,0.0
Emp-311612,0.0
Est-311612,0.0
Pay-311612,0.0
Emp-311710,0.0
Est-311710,0.0
Pay-311710,0.0
Emp-311811,0.0
Est-311811,0.0
Pay-311811,0.0
Emp-311812,0.0
Est-311812,0.0
Pay-311812,0.0
Emp-311920,0.0
Est-311920,0.0
Pay-311920,0.0
Emp-311941,0.0
Est-311941,0.0
Pay-311941,0.0
Emp-312120,0.0
Est-312120,0.0
Pay-312120,0.0
Emp-312130,0.0
Est-312130,0.0
Pay-312130,0.0
Emp-312140,0.0
Est-312140,0.0
Pay-312140,0.0
Emp-313210,0.0
Est-313210,0.0
Pay-313210,0.0
Emp-314910,0.0
Est-314910,0.0
Pay-314910,0.0
Emp-314994,0.0
Est-314994,0.0
Pay-314994,0.0
Emp-314999,0.0
Est-314999,0.0
Pay-314999,0.0
Emp-315990,0.0
Est-315990,0.0
Pay-315990,0.0
Emp-316210,0.0
Est-316210,0.0
Pay-316210,0.0
Emp-321113,0.0
Est-321113,0.0
Pay-321113,0.0
Emp-321219,0.0
Est-321219,0.0
Pay-321219,0.0
Emp-321912,0.0
Est-321912,0.0
Pay-321912,0.0
Emp-321918,0.0
Est-321918,0.0
Pay-321918,0.0
Emp-321920,0.0
Est-321920,0.0
Pay-321920,0.0
Emp-321992,0.0
Est-321992,0.0
Pay-321992,0.0
Emp-321999,0.0
Est-321999,0.0
Pay-321999,0.0
Emp-323111,1.0
Est-323111,0.0
Pay-323111,0.0
Emp-323113,0.0
Est-323113,0.0
Pay-323113,0.0
Emp-325414,0.0
Est-325414,0.0
Pay-325414,0.0
Emp-326199,0.0
Est-326199,0.0
Pay-326199,0.0
Emp-327110,0.0
Est-327110,0.0
Pay-327110,0.0
Emp-327320,0.0
Est-327320,0.0
Pay-327320,0.0
Emp-327390,0.0
Est-327390,0.0
Pay-327390,0.0
Emp-327991,0.0
Est-327991,0.0
Pay-327991,0.0
Emp-332311,0.0
Est-332311,0.0
Pay-332311,0.0
Emp-332312,0.0
Est-332312,0.0
Pay-332312,0.0
Emp-332322,0.0
